Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2015-07-24,125.32,125.74,123.9,124.48,40930089.0,0.0,1.0,125.32,125.74,123.9,124.48,40930089.0
2015-07-23,126.2,127.09,125.06,125.16,50999452.0,0.0,1.0,126.2,127.09,125.06,125.16,50999452.0
2015-07-22,121.99,125.5,121.99,125.22,115450607.0,0.0,1.0,121.99,125.5,121.99,125.22,115450607.0
2015-07-21,132.85,132.92,130.32,130.75,76756427.0,0.0,1.0,132.85,132.92,130.32,130.75,76756427.0
2015-07-20,130.97,132.97,130.7,132.07,58900203.0,0.0,1.0,130.97,132.97,130.7,132.07,58900203.0
2015-07-17,129.08,129.62,128.31,129.62,46164710.0,0.0,1.0,129.08,129.62,128.31,129.62,46164710.0
2015-07-16,127.74,128.57,127.35,128.51,36222447.0,0.0,1.0,127.74,128.57,127.35,128.51,36222447.0
2015-07-15,125.72,127.15,125.58,126.82,33649200.0,0.0,1.0,125.72,127.15,125.58,126.82,33649200.0
2015-07-14,126.04,126.37,125.04,125.61,31768139.0,0.0,1.0,126.04,126.37,125.04,125.61,31768139.0
2015-07-13,125.03,125.755,124.32,125.66,41440538.0,0.0,1.0,125.03,125.755,124.32,125.66,41440538.0
2015-07-10,121.94,123.85,121.21,123.28,61354474.0,0.0,1.0,121.94,123.85,121.21,123.28,61354474.0
2015-07-09,123.85,124.06,119.22,120.07,78595038.0,0.0,1.0,123.85,124.06,119.22,120.07,78595038.0
2015-07-08,124.48,124.64,122.54,122.57,60761614.0,0.0,1.0,124.48,124.64,122.54,122.57,60761614.0
2015-07-07,125.89,126.15,123.77,125.69,46946811.0,0.0,1.0,125.89,126.15,123.77,125.69,46946811.0
2015-07-06,124.94,126.23,124.85,126.0,28060431.0,0.0,1.0,124.94,126.23,124.85,126.0,28060431.0
2015-07-02,126.43,126.69,125.77,126.44,27210952.0,0.0,1.0,126.43,126.69,125.77,126.44,27210952.0
2015-07-01,126.9,126.94,125.99,126.6,30238811.0,0.0,1.0,126.9,126.94,125.99,126.6,30238811.0
2015-06-30,125.57,126.12,124.86,125.425,44370682.0,0.0,1.0,125.57,126.12,124.86,125.425,44370682.0
2015-06-29,125.46,126.47,124.48,124.53,49161427.0,0.0,1.0,125.46,126.47,124.48,124.53,49161427.0
2015-06-26,127.67,127.99,126.51,126.75,44066841.0,0.0,1.0,127.67,127.99,126.51,126.75,44066841.0
2015-06-25,128.86,129.2,127.5,127.5,31938100.0,0.0,1.0,128.86,129.2,127.5,127.5,31938100.0
2015-06-24,127.21,129.8,127.12,128.11,55280855.0,0.0,1.0,127.21,129.8,127.12,128.11,55280855.0
2015-06-23,127.48,127.61,126.8792,127.03,30268863.0,0.0,1.0,127.48,127.61,126.8792,127.03,30268863.0
2015-06-22,127.49,128.06,127.08,127.61,34039345.0,0.0,1.0,127.49,128.06,127.08,127.61,34039345.0
2015-06-19,127.71,127.82,126.4,126.6,54716887.0,0.0,1.0,127.71,127.82,126.4,126.6,54716887.0
2015-06-18,127.23,128.31,127.22,127.88,35407220.0,0.0,1.0,127.23,128.31,127.22,127.88,35407220.0
2015-06-17,127.72,127.88,126.74,127.3,32918071.0,0.0,1.0,127.72,127.88,126.74,127.3,32918071.0
